,categories,title,company_names,percentages,funding_amounts,days_left,n_supporters,likes,descriptions,durations,target_amounts
534,교육·키즈,[일하는] 엄마가 만든 내 아이를 위한 옷!,르쐴(Le seul),61%,"613,800원",,12,9,내 아이가 함께 보고 느끼는 자연을 보며 영감을 받아 만든 프로젝트입니다.,2020.09.16-2020.09.24,"1,000,000원"
535,교육·키즈,전설과 함께하는 암호화폐 실전 매매테크닉 강의,(주)토파보기,60%,"600,000원",,3,10,"'진짜' 전설이 돌아왔다. 종자돈 8,000만원으로 1,300억원의 수익을 기록한 윤강로 회장 (a.k.a 압구정미꾸라지) 의 실전매매 노하우 강의가 여러분을 찾아갑니다.",2020.05.25-2020.06.21,"1,000,000원"
536,교육·키즈,내 아이를 위한 신중한 선택! 목 보호 플레이 하우스 책상,바티바르,59%,"1,782,000원",,6,21,"인체에 가장 편안한 각도의 책상 기울기로 거북목증후군 등의 목 질환을 예방하고, 플레이 하우스로 변형하여 아이들이 즐거운 추억을 품는 공간을 선물하세요.",2017.12.13-2017.12.24,"3,000,000원"
537,교육·키즈,"수학과 친해지는 보드게임 '비빙고', '넘버렛츠고'",콘센트(CONCENT),59%,"1,774,000원",,33,22,"수학과 친해지는 보드게임을 만들고 있는 '콘센트'입니다. 아이들이 보드게임 '비빙고'와 '넘버렛츠고'를 통해 수학과 친해지고,  좀 더 가까이 할 수 있었으면 합니다.",2019.07.01-2019.07.24,"3,000,000원"
538,교육·키즈,영어 1도 모르면 조립하는 영어학습 블록으로 공부하자,큐피헤븐,58%,"1,160,000원",,16,12,기초영어를 책으로 지겹게 공부하지 말고 이해하기 쉽게 구성한 블록으로 놀이하듯 학습하세요.,2019.01.03-2019.02.17,"2,000,000원"
539,교육·키즈,집으로 보내드리는 코딩 독학 키트 : 초보도 만들다 보면 전문가!,메이키스트,54%,"1,640,000원",,12,20,"자율주행 RC-car /ARDUINO 스타트(beginning) KIT /숨었다(smart) 스위치로, 집에서도 쉽고 재미있게 코딩전문가가 될 수 있습니다.",2018.08.08-2018.09.10,"3,000,000원"
540,교육·키즈,패키지 제작 및 디자인 실무 강의,클라우드디자인,54%,"540,000원",,8,9,현)패키지디자인업체 대표가 직접 강의하는 패키지 실무강의!!,2019.10.08-2019.10.28,"1,000,000원"
541,교육·키즈,매트 하나로 완성하는 최고의 놀이방 [매직놀이방매트],(주)아렌델,50%,"1,500,100원",,7,3,"증강현실 구현 및 다양한 학습 놀이효과! 미라벨 매직 놀이방매트는 기존의 놀이방매트의 장점을 모두 가지고 있으며 스마트기기를 통하여 살아있는듯한 3D 캐릭터를 보면서 재밌게 즐기고, 학습할 수 있는 새로운 개념의 놀이방매트 입니다.",2016.02.29-2016.03.31,"3,000,000원"
542,교육·키즈,OLIVA 키즈포티로 아이들에게 건강하고 깨끗한 화장실을 선물 하세요!,3D피아 OLIVA와 함께 ,49%,"1,187,500원",,35,19,사랑스런 우리 아이와의 외출! 화장실 사용은 어떻게 하지? 여러 사람이 사용하는데?,2020.01.20-2020.02.28,"2,400,000원"
543,교육·키즈,아이를 디자이너로 만드는  브랜드 OWN U 의 반제품  DIY KIT ,주) 오운유 ,48%,"1,469,200원",,12,12,아이를 예술가로 만드는 브랜드,2017.04.21-2017.05.21,"3,000,000원"
544,교육·키즈,아이와 함께 만드는 [숨바 플레이하우스] #우리아이 내집마련 #집콕필수품,스튜디오 마노,45%,"2,065,800원",,44,97,아이의 공간지각력은 다양한 공간을 체험하면서 개발됩니다.,2020.02.28-2020.03.25,"4,500,000원"
545,교육·키즈,"팔리게 만드는 상세페이지, 상위노출, 광고의 모든 것. 스마트스토어 투잡",임민혁 (임민혁),45%,"229,500원",,13,14,"평범한 남자 임호입니다. 임호라는 닉네임으로 투잡 강사를 하고 있으며, 누구나 쉽게 접근할 수 있는 저의 상위노출 기법과 상세페이지 제작, 광고의 모든 노하우를 알려드리겠습니다",2021.02.15-2021.02.26,"500,000원"
546,교육·키즈,주식 초보 탈출! 예제로 배우는 중기투자,철학하는시인,43%,"237,600원",,14,11,주식 중수가 되는 것은 많은 경험과 시간이 필요하지만,2020.06.16-2020.06.30,"550,000원"
547,교육·키즈,"아이와 엄마의 꿀잠 쿠션, 슬리핀!!",슬리핀 (김요한),43%,"4,108,000원",,48,25,"아이의 편안한 휴식을 도와주는 슬리핀!! 아이가 잘자면 엄마는 바닥에서도 꿀잠을 잘 수 있어요~~각도조절 기능, 다용도 포켓, 귀여운 디자인까지 어느 것 하나 놓치지 않았습니다",2019.10.11-2019.11.10,"9,550,000원"
548,교육·키즈,유튜브 1위 영단어 무의식 암기의  영어정복 스마트 패키지 ,유튜브 무의식 암기 (더데이넷),42%,"424,000원",,9,29,"10만 유튜브 ""영어단어"" 1위 무의식 암기가 영어정복의 패키지를 들고, 와디즈에 입성했습니다. 많은 선물 받아가세요.",2020.03.02-2020.03.23,"1,000,000원"
549,교육·키즈,"나도 모르겠는 내 아이 심리상태, 15분만에 파악하기 ㅣ i-로그인 키트",허그맘,42%,"420,000원",,2,16,"18개월 주은이, 4세 진영이... 우리 아이만을 위한 맞춤양육코칭! 엄마아빠와 놀이하는 15분 영상을 보내주시면 놀이심리상담사가 꼼꼼히 체크해서 양육보고서를 보내드립니다.",2019.07.24-2019.08.11,"1,000,000원"
550,교육·키즈,로보카폴리 스마트포스터 : 우리아이 공부가 저절로~,(주)디엔소프트,41%,"1,234,900원",,18,0,스마트폰만 대면 공부가 저절로~  로보카폴리 스마트포스터 제작 프로젝트,2015.12.08-2016.01.10,"3,000,000원"
551,교육·키즈,준비된 창업,다모이,41%,"207,900원",,8,12,창업자금이 부족하다구요? 실패할까봐 두렵다구요? 창업 경험이 없다구요? 창업아이템이 고민이시라구요?,2021.04.02-2021.04.09,"500,000원"
552,교육·키즈,"어른과 아이, 즐겁게 동물 색칠하기",전다은 (전다은),40%,"280,000원",,10,4,"어른과 아이 모두 좋아 하는 말랑한 동물 친구들!!  나도 자유롭게 칠하고, 아동센터에 기부해서 아이들도 함께 칠하는 ""어른아이, 즐겁게 동물 칠하기"" 프로젝트 입니다.",2016.11.25-2016.12.17,"700,000원"
553,교육·키즈,디즈니와 함께하는 에듀케이션 보드게임 시리즈,(주)토이앤퍼즐,40%,"324,800원",,14,12,"귀여운 디즈니 캐릭터들로 아이들의 흥미를 유발하며, 교육적 효과를 기대할 수 있는 아동을 위한 교육용 보드게임(Education Board Game) 시리즈입니다.",2020.09.01-2020.09.17,"800,000원"
