,categories,title,company_names,percentages,funding_amounts,days_left,n_supporters,likes,descriptions,durations,target_amounts
217,패션·잡화,그라데이션 골반 패드가 장착된  힙딥 보정 블랙진 [골반필러진] ,젤리씨,71%,"3,575,000원",33일 남음,84,66,"""자연스러운 힙딥 보정"" 그라데이션 패드가 장착된 [골반필러진]
압박 불편함은 전혀없이, 보정 속옷을 입은 듯한 풍성한 골반 라인을 연출해주는 활용도 200%의 블랙 진",2021.04.18-2021.05.31,"5,000,000원"
218,스포츠·모빌리티,"[종아리 케어 끝판왕] 자기만 했는데 다리가 예뻐졌다고?! ""붓기쓱밴드""",굿럭,4310%,"21,552,600원",12일 남음,393,295,압박스타킹! 신고 벗기 힘들어서 고생이셨다면? 압박감이 불만이셨다면? FULL-OPEN 디자인으로 내 맘대로 압박감을 조절할 수 있는 [지몬 붓기쓱밴드]로 관리해보세요!!,2021.04.08-2021.05.10,"500,000원"
219,패션·잡화,"[긴급2.7억앵콜]여름대비, 쾌적한 그곳을 위해 인생팬티를 준비했어요 ",(주)라쉬반코리아,2516%,"25,165,400원",12일 남음,393,159,국내생산과 보편적인 짙은 계열 색상을 채택한 라쉬반 와디즈 단독 리워드입니다. 품질 신뢰도를 올린 2021년 신규 리워드를 와디즈에서 최초로 만나세요,2021.04.15-2021.05.10,"1,000,000원"
220,스포츠·모빌리티,"[무료영상제공] 스트레칭,코어,밸런스까지! 10만원대로 끝내는 홈필라테스",핏아워,1688%,"8,441,000원",5일 남음,46,106,"20가지 기본 동작과 5가지 강도 조절, 매일 해도 질리지 않는 다양한 응용동작까지! 10만원대로 하프짐볼과 필라테스기구, 피트니스 기구를 모두 집안에 들여놓으세요.",2021.04.14-2021.05.03,"500,000원"
221,패션·잡화,[앵콜] 후기가 만점이라고?! 차원이 다른 여성용 사각팬티 보여드릴게요.,스탠더스,1502%,"7,514,800원",16일 남음,104,116,무려 후기 '만점' 사각팬티?! 앵콜 펀딩으로 돌아온 인증된 편안함! 스탠더스의 여성용 드로즈와 트렁크. 사각팬티 유목민들은 이제 스탠더스로 정착하세요.,2021.04.23-2021.05.14,"500,000원"
222,홈리빙,알쓰들이여 이젠 원샷으로 즐겨라~[슬기로운 반잔생활],주식회사 부학산업,1320%,"6,601,007원",19일 남음,97,61,"술은 약한데 술자리 좋아하는 흥쟁이들의 필수템!!
주량을 두배로 늘려주는 나만의 비밀~
이제 억지로 마시지 마세요~슬기로운 반잔생활 하세요",2021.04.24-2021.05.17,"500,000원"
223,뷰티,[약산성패드 한 장으로 끝내는 모공관리]피지케어에 진정까지 된다구요?,(주)로우어스,957%,"4,789,100원",5일 남음,175,132,"모공 안의 피지에 실제 유효한 성분으로 피부 고민을 확실하게 지워드릴게요. 
이제, 더 이상 억지로 눌러 빼내지 말고 말고 편하게 닦아내세요.",2021.04.12-2021.05.03,"500,000원"
224,반려동물,<냥이 목욕이 힘든 집사님 주목> 뿌리면 끝! 제주서 온 순수 수분세정제,오래오랩 OLAOLAB,948%,"4,743,000원",5일 남음,83,63,"반려동물 라이프스타일의 새로운 패러다임!
포링크 포스메틱(PAWLINK Pawsmetic) 올인원-케어 솔루션",2021.04.15-2021.05.03,"500,000원"
225,뷰티, [아이에게도 문제없어요!] 순식간에 수분을 채워주는 무자극 수딩스프레이,오섬컴퍼니,924%,"9,243,750원",12일 남음,129,63,"아이들이 사용해도 문제없을 정도로 
순한 제품을 만들고 싶었어요.
민감성 피부, 아이 피부-어느 피부타입이든! 
무자극 수딩 스프레이안개분사로 피부를 진정시키고 수분을 채워줍니다",2021.04.17-2021.05.10,"1,000,000원"
226,뷰티,"모공까지 예쁘게 싹- 꿀피부 표현, 프로폴리스 듬뿍 | 리셋쿠션",자민경(주),906%,"4,533,800원",5일 남음,103,84,"바를 수록 좋아지는 피부컨디션을 꿈꿀 수 있는 앰플쿠션! 임상만 17가지, 자민경의 홈쇼핑 완판템 90울트라 프로폴리스 앰플 34% 함유한 리셋쿠션으로 스킨케어와 메이크업을 한번에",2021.04.16-2021.05.03,"500,000원"
227,홈리빙,"5차 앵콜) 기본부터 정성스럽게 만든, 코튼업 국민타월",주식회사 지엠지모터스,893%,"4,466,500원",19일 남음,79,48,"매일매일 사용해야하는 타월이니 만큼, 무엇보다 중요한 것은 기본에 있습니다. 뛰어난 흡수력과 건조성, 100% 코튼을 사용한 코튼업 국민타월을 소개합니다.",2021.04.26-2021.05.17,"500,000원"
228,테크·가전,[앵콜] 개인방송 어렵지 않아요! ASMR도 가능한 큐마이크,올포토,842%,"8,420,000원",2일 남음,85,106,[앵콜] 개인방송 어렵지 않아요! ASMR도 가능한 큐마이크,2021.04.15-2021.04.30,"1,000,000원"
