,categories,title,company_names,percentages,funding_amounts,days_left,n_supporters,likes,descriptions,durations,target_amounts
109,출판,"부동산으로 번 돈, 이제는 지킬 차례! 땅배기의 부동산 세금 일당백하기!",이희승 (이희승),292%,"1,464,000원",펀딩성공,82,47,"부동산으로 번 돈, 이제는 지킬 차례다! 취득세, 보유세, 양도세 등 부동산세금 최신 개정안과 절세 방안을 이해하기 쉽게 알려드려 여러분의 돈을 스스로 지킬 수 있게 도와드립니다.",2020.11.09-2020.12.16,"500,000원"
110,출판,"아무도 나에게 좋아한다고 말하지 말아 줘, <오렌지칵테일>",늘꿈,284%,"1,423,000원",펀딩성공,50,36,/일곱 색깔 나라와 꿈/ 늘리혜의 거대한 판타지 세계관을 여는 서막!,2020.11.23-2021.01.21,"500,000원"
111,출판,"서클로 마음을 연결하고 싶은 가족을 위한 ""가족서클""",비폭력평화물결 (박성용),282%,"3,670,000원",펀딩성공,112,27,다양한 가족모임에서 둘러앉아 가족서클을 해보세요.,2020.05.29-2020.06.24,"1,300,000원"
112,출판,"40개의 대외활동,1억후원 세계일주까지 청춘들을 위한 기술서",청춘의 기술,275%,"1,376,500원",펀딩성공,63,13,"아무것도 가진 것 없는 흙 수저 청춘이었지만,",2018.11.12-2018.11.21,"500,000원"
113,출판,베스트셀러가 시들해진 그대에게_독립출판물 정기구독 서비스,"책읽는마을,Billage(전민경) (전민경)",273%,"1,367,000원",펀딩성공,50,45,"저희는 독립서점의 부흥을 위해 활동하고 있는 책 읽는 마을, Billage입니다. 침대에서 독립서점의 매력과 정취를 느낄 수 있는 독립출판물 정기구독 서비스 많은 관심 부탁드려요!",2020.06.05-2020.06.23,"500,000원"
114,출판,누구나 한번쯤은 꿈꿔봤을 길 위의 나의 집《밴 라이프》출판 프로젝트,벤치워머스,269%,"1,348,900원",펀딩성공,52,31,"‘#VanLife’를 만든 포틀랜드 스타일 마스터, 포스터 헌팅턴의 본격 로망 전도서. 길 위의 나의 집,《밴 라이프》 출판 프로젝트",2019.03.14-2019.03.31,"500,000원"
115,출판,"그 PPT, 만드는 법",황광원 (황광원),269%,"1,347,600원",펀딩성공,119,100,우리가 보는 피피티(PPT)를 직접 만들 수 있도록 직접적이고 강력한 도움을 주는 내용을 담은 PPT 제작 도움서입니다. 다년간의 노하우와 정보들을 모두 담아 아낌없이 드립니다.,2021.02.18-2021.03.10,"500,000원"
116,출판,사장님! 노동법 힘드시죠? <현장에서 바로 통하는 노무 처방전> ,커리어북스,268%,"2,682,500원",펀딩성공,119,57,사장님! 많이 힘드시죠?,2021.01.26-2021.03.03,"1,000,000원"
117,출판,"세상에서 가장 재미있는 성경책, 올마이티 바이블",올마이티 바이블,263%,"7,907,000원",펀딩성공,105,14,"8세~14세 어린이용 한글/영어 만화 성경책 “올마이티 바이블""",2014.01.28-2014.02.28,"3,000,000원"
118,출판,내가 좋으면 그만인데! 책 <알 바야 쓰레빠야>,문연이 (문연이),256%,"1,281,000원",펀딩성공,62,32,"내가 좋으면 그만인데 나는 왜 자꾸 겁을 먹고, 눈치를 보고, 작아지기만 하는 걸까? 이제 '알 바야 쓰레빠야'다!",2019.11.25-2019.12.03,"500,000원"
119,출판,[부업의 정석] 스마트스토어 새내기! 왕초보! 를 위한 상세 가이드북!,비엔리,251%,"1,255,000원",펀딩성공,120,62,스마트스토어가 무척 쉬운 부업이라는 사실 알고 계신가요?,2020.10.15-2020.11.05,"500,000원"
120,출판,잠깐 카페? 오래갈 카페! 100년을 꿈꾸는 동네카페가 책 쓰다 프로젝트,선스토리 ,251%,"2,511,450원",펀딩성공,100,41,1인 출판사 선스토리와 동네카페 SsoH가 함께 전하는 카페 창업비결과 지속가능한 경영노하우!  <100년 가는 동네카페 만들기> 프로젝트.,2021.02.05-2021.02.14,"1,000,000원"
121,출판,"사랑하는 사람과의 대화 해결책, [노크북]",씨엔허그,248%,"3,720,130원",펀딩성공,128,89,"사랑한다면서, 따스히 건네지 못한 말들. 노크북으로 꺼내보세요. 숨겨진 마음을 열고 소중한 관계를 이어줍니다.",2020.09.14-2020.10.05,"1,500,000원"
122,출판,지금 당신의 미션은 무엇입니까?,no book,247%,"2,470,000원",펀딩성공,27,19,당신은 지금 어떤 삶을 살고 있습니까?,2019.12.02-2019.12.25,"1,000,000원"
123,출판,"엄마,아빠 우리 공룡 보러가요! 18개 명소를 담은 '대한민국 공룡탐험'",주식회사 지반,246%,"3,210,000원",펀딩성공,129,16,공룡을 좋아하는 아이를 위한 최고의 선물! 대한민국에서 공룡을 만나려면 '단연 이곳'이라 손꼽히는 18곳을 멋진  일러스트와 알찬 설명으로 담은 공룡탐험지도와 포스터 세트,2018.04.30-2018.05.31,"1,300,000원"
124,출판,갑갑해 하는 우리 아이를 위해 ! 재밌게 놀아요~  슬기로운 육아맘 생활,루시,246%,"2,462,900원",펀딩성공,43,54,놀러 나가고 싶어지는 5월입니다.,2020.05.26-2020.06.14,"1,000,000원"
125,출판,<인사이트 디스커버리 프로젝트>와 함께 트렌드의 바다를 항해하세요, (주)티아이미디어,246%,"1,233,500원",펀딩성공,99,19,마이크로 트렌드 전문 미디어 <트렌드인사이트> 만의 통찰력으로 찾아낸 트렌드를 만나보세요. 거대한 파도를 뚫고 미래를 향해 항해하세요.,2019.06.25-2019.07.28,"500,000원"
126,출판,지구에서 태어날 모든 아기를 위한 친환경 그림책 <평화로운 탄생> 출판,균하스페이스,246%,"1,233,400원",펀딩성공,51,19,"아기가 세상을 만나는 경이로운 순간을 담은 따뜻하고, 사랑스럽고, 진지한 그림책 <평화로운 탄생>을 친환경 종이와 콩기름 잉크로 출판하고 싶습니다.",2019.07.15-2019.07.28,"500,000원"
127,출판,새하얗게 불태운 [내일의 죠] 완전판 + 프리미엄 굿즈,(주)학산문화사,244%,"73,237,000원",펀딩성공,449,175,"완전 연소 히어로, 야부키 죠! 뜨거운 열정으로 모든 걸 불태운 한 사나이의 이야기! 『내일의 죠』 완전판으로 부활!!",2021.01.08-2021.01.29,"30,000,000원"
128,출판,[인터뷰집] 한국 출신 해외입양인이 들려주는 나를 찾아가는 이야기,김승아 (김승아),243%,"1,215,990원",펀딩성공,40,22,해외로 입양 가야만 했던 한국인들이 겪은 정체성 혼란을 인터뷰집에 담았습니다.,2021.01.21-2021.02.22,"500,000원"
129,출판,중국 시장을 이해하는 가장 빠른 방법 - 이커머스 편 리포트,원아시아,241%,"7,250,000원",펀딩성공,123,26,중국시장을 누구보다 제대로 알고 있는 원아시아가 중국 유명 매체 출신 전문 기자 및 현지 CEO들과 중국 이커머스 시장에 대한 보고서 발간 크라우드펀딩을 진행합니다.,2017.02.21-2017.03.31,"3,000,000원"
130,출판,인간관계에 지친 당신을 위한 세상에 하나뿐인 질문북 ‘I AM’,루미너스 (박한나),241%,"2,416,200원",펀딩성공,87,79,인간관계에 지친 당신에게 묻고 싶은 질문들을 담았습니다. ‘I AM’북과 함께 당신의 지친 마음을 되돌아보는 시간을 가져보세요.,2018.07.23-2018.08.27,"1,000,000원"
131,출판,500연승 금융투자 프리미엄 교육 eBook(전자책),글로벌금융교육원,238%,"1,192,000원",펀딩성공,27,36,"글로벌금융교육원이 500번 연속으로 금융투자를 모두 성공하는 대기록을 성취하였으며, 500연승 실전내역을 전격 공개하고, 500연승에 사용한 실전 투자지식과 노하우를 교육합니다.",2020.06.09-2020.08.05,"500,000원"
132,출판,유튜브는 처음입니다만 -  예비 유튜버를 위한 10가지 유튜브 성공 전략,카시오페아 출판사,237%,"2,375,200원",펀딩성공,69,30,"억대 연봉, 인플루언서, 1인 미디어라고 불리는 ‘유튜브 크리에이터’에 대한 관심이 뜨거운 지금!  채널 개설부터 스타 유튜버가 되기까지 전략을 담은 최초의 책입니다.",2019.04.03-2019.04.22,"1,000,000원"
133,출판,프리랜서 예술강사 1인 창업 가이드북,춤놀이문화연구소,236%,"1,182,500원",펀딩성공,76,41,본 프로젝트는 창업을 꿈꾸는 예술 또는 교육 기반의 프리랜서 강사님들이 최소한의 자본으로 1인 창업을 준비할 수 있는 과정과 노하우를 담았습니다.,2020.10.01-2020.10.19,"500,000원"
134,출판,[싱가포르의 기적] 글로벌 도시국가 싱가포르 ,차밍시티 (조철민),235%,"2,358,400원",펀딩성공,58,34,"독립 후 반세기 만에, 세계적인 글로벌 도시로 성장한 싱가포르의 기적과 같은 여정을 담은 책입니다.",2019.03.07-2019.03.24,"1,000,000원"
135,출판,그림책 <이 땅의 비밀> 세상에서 가장 큰 퍼즐! 지구땅에 숨겨진 이야기,이야기뜰,234%,"2,346,000원",펀딩성공,49,21,"한 덩어리였던 지구의 땅이 갈라지고, 물에 잠기고, 나누어진 이야기!",2020.10.26-2020.11.16,"1,000,000원"
136,출판,그림이 있는 소설책 <나의 아름다운 고양이 델마> (일러스트 에디션),김은상 (김은상),232%,"4,657,901원",펀딩성공,126,35,『나의 아름다운 고양이 델마』(일러스트 에디션) 제작 프로젝트에 서포터님을 초대합니다. 소장 가치가 있는 아름다운 책을 만들겠습니다. 서포터님의 많은 관심과 사랑 부탁드립니다.,2019.08.09-2019.09.01,"2,000,000원"
137,출판,성공보다 실패가 더 많은 스타트업 이야기,글쓰기 전문가 한호택 교수 (한호택),231%,"2,312,500원",펀딩성공,72,37,스타트업은 CEO는 어떤 사람들일까요? 취업하려는 사람들이 많은데 왜 굳이 창업을 택했을까요?  그들은 무엇을 꿈꾸며 살아갈까요?  그   솔직한 이야기를 털어놓겠습니다.,2018.03.29-2018.05.01,"1,000,000원"
138,출판,"캘리그라피작가가 알려주는 아이패드 활용법, how to procreate",이니글씨,230%,"1,150,000원",펀딩성공,131,63,#아이패드로 넷플릭스만 보고 계신가요?,2020.10.10-2020.10.23,"500,000원"
139,출판,[만화복원프로젝트] 마나문고 컴백! 황금날개 시리즈로 출동완료!!,주식회사 마나가게,230%,"23,014,100원",펀딩성공,200,52,"1977년 연재 시작. 1980년대 문고본 출간 후 단 한 번도 복간된 적 없는 ""황금날개 시리즈""",2021.02.28-2021.03.15,"10,000,000원"
140,출판,"두번째 공감페이퍼 출간 기념, 이지박스로 소녀들의 건강을 지켜주세요.",Kevin kang,228%,"2,285,000원",펀딩성공,87,29,"생리적인 아픔보다 큰 수치감, 소녀들의 그날이 더이상 불행한 날이 되지 않도록 두번째 공감페이퍼가 함께 하겠습니다.",2016.06.03-2016.06.25,"1,000,000원"
141,출판,운영비 0원! 무재고! 무배송! 하루 2시간! 스마트스토어로 월200벌기,임민혁 (임민혁),228%,"1,143,000원",펀딩성공,41,76,"안녕하세요,  평범한 남자 임호입니다.",2020.07.29-2020.08.31,"500,000원"
142,출판,영어만 잘하면 된다? NO! 해외영업 실무 필독 자료 '해외영업바이블',이지은 (이지은),225%,"1,128,000원",펀딩성공,62,34,해외영업 실무 및 역량 + 회사 생활 Tip들 몽땅 담은 전자책입니다.,2020.10.05-2020.10.30,"500,000원"
143,출판,누워서 읽는 법학 민사법 시리즈 출판 프로젝트,로스타트,221%,"22,111,000원",펀딩성공,"1,001",10,"'지금(now)' '이곳의(here)' 당신에게 도움이 되는 법학입문서, 편하게 읽기만 하면 전공자가 아니더라도 누구나, 쉽게, 실용적인 법학 지식을 얻을 수 있는 책, <누워서 읽는 법학 - 민사법 편>이 한정판 인쇄본으로 제작됩니다.",2014.08.27-2014.09.25,"10,000,000원"
144,출판,교회는 오래 다녔지만 성경을 제대로 읽어 본 적이 없다면?,예예시스터즈 yeyesisters (김선영),220%,"5,593,300원",펀딩성공,182,160,"교회는 오래 다녔지만 성경을 제대로 읽어 본 적이 없다면? 읽고싶은 성경, 내가사랑하는 책",2020.05.22-2020.06.29,"2,535,000원"
145,출판,"CSR의 미래, 파타고니아에서 찾다! <넥스트 CSR 파타고니아> 출간",주식회사 엠와이소셜컴퍼니(MYSC),217%,"3,261,100원",펀딩성공,126,28,지구를 되살리기 위해 사업을 하는 파타고니아! 그들이 제시하는 '넥스트 CSR'에 대해 깊이 있게 담은 도서가 출간됩니다.,2019.11.20-2019.12.09,"1,500,000원"
146,출판,하이힐 신고 납품하던 김과장은 어떻게 17개 명함을 가진 CEO가되었을까,17개의 명함을 가진 CEO,212%,"1,064,200원",펀딩성공,66,42,"명함은 성장의 기록입니다. 간절히 원하는 명함 한장은 눈물과 땀으로  만들어집니다. 이제 18번째 ""작가""의 명함은 여러분과 함께 만들고 싶습니다. 제 18번째 명함을 응원해주세요",2018.08.20-2018.08.28,"500,000원"
147,출판,나 그리고 나의 자녀는 안녕하신가요? [자존감스쿨],김세진 (김세진),209%,"1,047,600원",펀딩성공,33,26,"매일이 불평이고, 매일이 좌절이었던 10대의 삶이 가치 있는 삶, 행복한 삶이 되기까지의 과정, 자존감 스쿨로 자존감 체험학습과 스피킹 연습까지! '자존감 스쿨'",2020.10.28-2020.11.16,"500,000원"
148,출판,[안보면 손해] 철저하게 준비해야 이불킥 안해요!,이애란 (이애란),206%,"1,031,625원",펀딩성공,34,50,찍고 나서 후회하지 마세요.,2020.11.15-2020.12.21,"500,000원"
149,출판,"[119REO/기부플래너] 2020년엔 조금 더 특별한,나만의 다이어리!",119레오 주식회사,206%,"2,069,500원",펀딩성공,97,36,우리의 일상의 안전을 책임지는 소방관과 함께 2020년을 맞이하세요!! 매출총이익의 50% 부터 시작하는 기부금 비율이 펀딩 금액이 커지면 기부 비율이 100%까지 올라갑니다!!,2019.12.19-2019.12.25,"1,000,000원"
150,출판,진짜 맛있는 샌드위치 만들기! 샌드위치의 기초 X 스마트 저울  ,맛있는 책방 ,204%,"10,215,000원",펀딩성공,214,98,요리는 우연히 맛있어 지지 않아요!,2018.05.31-2018.06.24,"5,000,000원"
151,출판,아직도 구매대행만 하니?! 무재고에서 시작해서 직접 수입판매로 스토어운영,임민혁 (임민혁),203%,"1,015,200원",펀딩성공,58,64,평범한 남자 임호입니다.,2020.10.02-2020.10.23,"500,000원"
152,출판,더 나은 프로젝트를 위한 전문가들의 <프로젝트 매니지먼트 DIY 툴킷>,MYSC (주)엠와이소셜컴퍼니,201%,"3,027,500원",펀딩성공,113,40,더 나은 프로젝트를 위한 특별한 처방 <프로젝트 매니지먼트 DIY 툴킷>을 통해 프로젝트의 문제를 찾고 꼭맞는 해결책을 받아가세요!,2017.04.14-2017.05.22,"1,500,000원"
153,출판,소셜벤처를 만들고 싶다면? <소셜벤처 창업 핸드북> 출간! ,주식회사 엠와이소셜컴퍼니(MYSC),200%,"3,013,900원",펀딩성공,143,44,소셜벤처와 사회적 기업가정신의 모든 것!,2019.10.23-2019.11.14,"1,500,000원"
154,출판,"[ 아돼삼AR ] 당신이 몰랐던 아기돼지 삼형제의 결말, 지금 시작됩니다",AK9_증강현실동화,198%,"991,400원",펀딩성공,34,19,AR 동화책으로 아이에게 색다른 경험을 제공해주세요!,2019.03.12-2019.03.24,"500,000원"
155,출판,"[슬기로운 불안 관리] 퇴근 후, 내 마음의 안정을 찾는 시간",명예슬 (명예슬),197%,"986,400원",펀딩성공,63,78,부글부글 끓고 있는 불안한 마음을 1℃ 낮춰 드리는 책.,2020.12.08-2021.01.29,"500,000원"
156,출판,[경북 군위] 소실마을 할머니 '두려움을 깨고' 문집 발간 프로젝트,소실새뜰마을,192%,"3,845,000원",펀딩성공,189,24,"""할머니가 뭘 알아요?""라는",2016.06.01-2016.06.30,"2,000,000원"
157,출판,"감동전할 준비되셨나요? 커플,프로포즈,결혼기념 특별한선물 크리스마스전배송",노오스 컴퍼니,190%,"1,908,910원",펀딩성공,25,50,소중한 사람에게 향하는 마음을 책으로 완성하는 하나뿐인 우리 스토리,2020.11.16-2020.12.11,"1,000,000원"
158,출판,남겨진 사람의 일기 <여백의 미 공백의 슬픔> 독립 출판 프로젝트,이서연 (이서연),187%,"939,000원",펀딩성공,43,19,"암으로 떠난 엄마의 부재로부터 기록된 3편의 에세이, 64편의 시를 담았습니다.",2020.12.24-2021.01.29,"500,000원"
159,출판,"[출판］향토음식으로 푼 남녀생활 교감 에피소드, 음식男女 상열심사",음식남녀 상열심사 (김순희),185%,"3,711,000원",펀딩성공,71,16,2016 경북스토리콘텐츠공모전 대상 수상작 출판 프로젝트,2017.05.19-2017.06.16,"2,000,000원"
160,출판,웹툰<자살소년>단행본 제작 프로젝트,나무야미안해,185%,"11,155,634원",펀딩성공,266,178,웹툰 플랫폼 레진 코믹스에서 인기리에 연재중인 <자살소년>의 단행본 제작 프로젝트입니다.,2019.08.09-2019.09.10,"6,000,000원"
161,출판,"[운동초보,직장인도 할수있는] 3개월 복근만들기 프로젝트",업글라이프 (석나경),185%,"926,000원",펀딩성공,95,39,"근육 운동에 대해 잘 몰랐던, 회식과 출장을 밥 먹든 하던 직장인이 3개월 만에 복근을 만들 수 있었던 모든 노하우를 소개합니다.",2020.10.12-2020.10.30,"500,000원"
162,출판,거품 빼기 [보험 초보 가이드북] : 아는 만큼 받는다!,런치북스 (김소라),183%,"917,250원",펀딩성공,79,39,11년 동안 부은 보험에 뒤통수를 맞은 메이커가 여러분의 뒤통수를 보호하러 나섰다. 보장은 늘리고 보험료는 줄이는 보험 초보 탈출 프로젝트!,2020.10.11-2020.11.11,"500,000원"
