,categories,title,company_names,percentages,funding_amounts,days_left,n_supporters,likes,descriptions,durations,target_amounts
1389,푸드,진짜 천연 클렌즈 : 카카오 콩콩볼,청춘푸드,772%,"15,441,900원",펀딩성공,546,121,"화학첨가물에 찌든 현대인의 식단,",2016.10.26-2016.11.25,"2,000,000원"
1390,푸드,"[앵콜펀딩]귀찮음은 빼고, 건강은 챙기고! 답답해서 직접 만든 클렌즈주스",(주)대성에프앤지,772%,"7,723,800원",펀딩성공,114,144,7가지 종류로 하루에 한팩씩 다양하게 즐길 수 있는 클렌즈주스 한잔 어떠세요!,2020.10.04-2020.10.26,"1,000,000원"
1391,푸드,"부담없이 간편하게 매일 즐기는 국산 순살 굴비채 2종, 꿀비! ",백순기디엔에프,771%,"7,715,000원",펀딩성공,200,81,누구나 간편하고 부담 없이 매일 먹을 수 있는 굴비?,2020.12.03-2021.01.05,"1,000,000원"
1392,푸드,"올해 첫 수확과 함께 돌아온, 두 손 가득 달콤한 매력을 담은 애플수박",레드이츠,771%,"3,856,100원",펀딩성공,144,43,올해 첫수확과 함께 돌아온 애플수박은 일반 수박의 4분의1 크기의 혼자 먹기 딱인 신품종 과일입니다. 크기는 작지만 당도는 더 높은 저희 레드이츠 애플수박을 와디즈에서 만나보세요!,2021.03.26-2021.04.05,"500,000원"
1393,푸드,[3차앵콜] 생와사비와 부끄럽지 않은 쥐포,농부대첩,769%,"7,692,600원",펀딩성공,124,68,"'왜 쥐포는 불량식품일까? '란 물음으로 시작했습니다. 베트남, 중국 쥐치를 쓰지않고 국내산 말쥐치를 잡아 표고버섯,설탕,천일염만으로 간한 어디에 내놔도 부끄럽지않은 쥐포입니다.",2018.04.16-2018.05.01,"1,000,000원"
1394,푸드,#61kcal ㅣ누가 바삭 소리를 내었는가? [오후4시 프로틴바] ,프너지,766%,"3,834,000원",펀딩성공,91,62,건강한 식단조절 식품을 연구하는 프너지 입니다.,2020.06.22-2020.07.21,"500,000원"
1395,푸드,[패키지도 남다른]짠맛의 품격!호주바다소금이 유네스코3관왕의 제주와만나다,건강해저염,765%,"7,659,000원",펀딩성공,77,62,건강한 짠맛의 품격! 호주 청정 바다 솔트와 유네스코 3관왕에 빛나는 제주도 산지 원물과의 맛있는 만남. 세상에서 하나밖에 없는 명품 솔트로 주목받는 추석선물을 준비해보세요.,2020.09.09-2020.09.18,"1,000,000원"
1396,푸드,"앵콜펀딩 100년역사 전통육포 한우 화적포! 발색제,보존료,MSG 무첨가",백년육포,764%,"3,823,000원",펀딩성공,92,25,"전통육포 얼마나 알고 있나요? 발색제, 보존료, MSG를 일절 넣지 않고 100% 한우로 만든 우리전통 육포 ""화적포""",2019.08.19-2019.08.27,"500,000원"
1397,푸드,"[바나나는원래#파랗다] 산지직송 제주바나나, 무방부제/무농약/무화학비료 ",김영천,763%,"7,635,000원",펀딩성공,267,109,제주 3무! 이제 무농약/무방부제/무화학비료로 3무 바나나!,2020.05.13-2020.05.27,"1,000,000원"
1398,푸드,"글루텐프리, 초저당, 저탄수 비건 스콘",베러초이스,763%,"3,818,000원",펀딩성공,198,181,"맛있고 건강한 빵을 개발, 생산하고 있는 베러초이스에서 리뉴얼 스콘을 준비중입니다.",2019.05.30-2019.06.23,"500,000원"
