,categories,title,company_names,percentages,funding_amounts,days_left,n_supporters,likes,descriptions,durations,target_amounts
509,소셜·캠페인,네팔 지진 이재민 의료적 지원을 위한 후원팔찌,김소희,70%,"354,500원",,56,1,1차 지진으로 인해 붕괴된 건물이 2차 지진으로 인해 무너져 내렸습니다. 절망에 빠진 네팔...네팔을 위해서 기도해주세요. 팔찌 펀딩이 100% 달성될 때 네팔 이재민들을 위한 의료사업이 지원됩니다.,2015.04.30-2015.06.22,"500,000원"
510,소셜·캠페인,"지금, 안으러 갑니다. <프리허그 일본일주> 프로젝트",이재훈,69%,"1,385,000원",,69,1,"한국과 일본은 정말 서로 친구가 될 수 없을까요? 저는 사람과 사람으로서 한국인과 일본인은 아직 잘 모를뿐, 생각보다 서로를 좋아하고 있다고 믿습니다. 사이좋게 지내고 싶습니다. 그래서, ""지금, 안으러 갑니다!""",2015.11.20-2015.12.25,"2,000,000원"
511,소셜·캠페인,"부모님의 추억 속으로 떠나는 여행, 엄마의 옷장",주식회사 허밍비,69%,"1,395,000원",,47,10,"삶의 작은 변화로 소소한 웃음과 활기를 제공하는 연구소, ‘엄청진지하게 ㅋㅋ랩’입니다. 세월이 화살같이 간다고 푸념하시는 우리 엄마. 나이를 어디로 먹는지  여전히 아이인 우리가 ‘엄마의 옷장’ 전시를 통해 거꾸로 가는 시간열차를 준비하고 있습니다. 아름답고 빛나던 부모님의 이야기를 통해 전시의 주인공이 되어 주세요.",2016.03.10-2016.04.10,"2,000,000원"
512,소셜·캠페인,사회혁신기업가 Self Award에서 에너지를 나누어주세요,사회혁신기업가포럼,67%,"2,680,000원",,46,0,“사회혁신기업가 포럼”은 사회혁신 분야의 기업가 및 전문가들이 모여 한국사회의 사회혁신의 동력을 만들고자 함께 연구하고 토론하며 실천하는 것을 목적으로 합니다. 이번으로 2회째를 맞는 사회혁신기업가 포럼에서는 사회혁신기업가가 사회혁신기업가를 격려하고 함께 환호하는 “Self Award”를 마련하였습니다. 사회혁신기업가에게 힘을 줄 당신의 에너지가 필요합니다.,2014.10.24-2014.11.25,"4,000,000원"
513,소셜·캠페인,아프리카 부룬디 비즈니스맨 육성 프로젝트,제로디자인,64%,"960,000원",,30,0,"제로디자인은 아프리카 사회 문제를 해결하기 위한 솔루션 제품을 개발하고, 비즈니스 모델을 디자인하여 지속 가능한 제품 보급을 하는 기업입니다. 아프리카에 '빛'을 전하기 위한 이번 프로젝트를 통해 아프리카 사업가들의 투자자가 되어주세요!",2014.08.12-2014.08.31,"1,500,000원"
514,소셜·캠페인,소녀를 기억하는 방법. 위안부 소녀상 세우기 캠페인,착사모,63%,"25,504,215원",,"1,859",12,"소녀상은 단순한 동상이 아닌 '우리들의 아픈 역사이며 위안부 할머니들의 대변이자 인권' 입니다. 나아가 '일본의 잘못 인정과 위안부 할머니들에 대한 사죄'에 대한 우리의 상징 이기도 합니다. 이 이야기를 잊지 않도록, 잃지 않도록 더 많은 소녀상을 세우고 싶습니다.",2015.01.30-2015.04.30,"40,000,000원"
515,소셜·캠페인,사진사의 '시간'을 팝니다.,채널365 (고석균),63%,"1,260,000원",,21,14,"시간을 사면, 평생의 기억을 얻을 수 있습니다.",2016.11.28-2016.12.12,"2,000,000원"
516,소셜·캠페인,"임산부 배려의 마음을 전하는, 작은 뱃지 하나",WEWILL (조민지),63%,"635,500원",,53,23,[우리가 직접 해결하는 사회문제],2018.09.01-2018.09.30,"1,000,000원"
517,소셜·캠페인,아직도 당신과 함께이고픈 마음을 담아-be with you 티셔츠&에코백,댕대리,63%,"632,000원",,30,29,아직도 당신과 함께이고픈 그들의 마음을 담아 만들었습니다.,2019.05.31-2019.06.17,"1,000,000원"
518,소셜·캠페인,"""너희들의 시간에 행복한 날이 있길""",Meme! (한유민),63%,"2,862,500원",,82,71,HUGME 프로젝트는 개농장에서 구조한 유기견들을 보호하는 '평택시 허그미 유기견 쉼터' 후원을 위해 진행하게 되었습니다.,2020.08.26-2020.11.19,"4,500,000원"
